"time","Freq1","Freq2","Freq3","orificeHeater","gapQF","stab1","stab2","stab3"
"15-Jan-12 12.00.00.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.00.10.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.00.20.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.00.30.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.00.40.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.00.50.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.01.00.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.01.10.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.01.20.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.01.30.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.01.40.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.01.50.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.02.00.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.02.10.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.02.20.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.02.30.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.02.40.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.02.50.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.03.00.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.03.10.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.03.20.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.03.30.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.03.40.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.03.50.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.04.00.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.04.10.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.04.20.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.04.30.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.04.40.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.04.50.000 AM",7292.0175623225,7209.78683920822,7572.19321960041,"000",0,1,1,1
"15-Jan-12 12.05.00.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.05.10.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.05.20.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.05.30.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.05.40.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.05.50.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.06.00.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.06.10.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.06.20.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.06.30.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.06.40.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.06.50.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.07.00.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.07.10.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.07.20.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.07.30.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.07.40.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.07.50.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.08.00.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.08.10.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.08.20.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.08.30.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.08.40.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.08.50.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.09.00.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.09.10.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.09.20.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.09.30.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.09.40.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.09.50.000 AM",7292.54055718514,7210.38999166688,7572.20594233854,"000",0,1,1,1
"15-Jan-12 12.10.00.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.10.10.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.10.20.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.10.30.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.10.40.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.10.50.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.11.00.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.11.10.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.11.20.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.11.30.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.11.40.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.11.50.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.12.00.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.12.10.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.12.20.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.12.30.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.12.40.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.12.50.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.13.00.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.13.10.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.13.20.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.13.30.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.13.40.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.13.50.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.14.00.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
"15-Jan-12 12.14.10.000 AM",7292.82485539692,7210.17804465064,7572.16493879402,"000",0,1,1,1
